"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
         German , 25 , 120 , 70 , 65 , 35 , 10 , 55 , 25 , 30 , 135 , 20 , 35 , 10 , 40 , 30 , 5 , 25 , 10 , 140 , 40 , 135 , 40 ," 1,100 "," 3,485 "
         Greek , 135 , 15 , 50 , 35 , 25 , 25 , 55 , 20 , 35 , 295 , 15 , 25 , 10 , 55 , 65 , 10 , 15 , -   , 25 , 15 , 15 , 25 , 955 ," 1,755 "
         Gujarati , -   , 30 , -   , 20 , -   , 20 , 40 , -   , 60 , 5 , 10 , 10 , -   , 80 , 10 , -   , 5 , -   , 125 , 15 , 30 , 5 , 485 ," 2,910 "
         Hakka , -   , -   , -   , -   , 5 , 15 , 15 , -   , 5 , -   , -   , -   , -   , 50 , 5 , -   , -   , -   , 15 , -   , -   , -   , 115 , 310 
         Hebrew , 10 , 50 , 20 , 25 , 5 , 5 , -   , 25 , -   , 30 , 45 , 10 , 20 , 5 , 35 , 10 , 25 , -   , 5 , -   , 20 , 10 , 350 , 715 
         Hindi , 10 , 35 , 15 , 5 , 15 , 70 , 295 , 5 , 95 , 10 , 20 , 25 , 15 , 420 , 85 , -   , 5 , 5 , 485 , 230 , 60 , 5 ," 1,915 "," 11,690 "
         Hungarian , -   , 25 , 15 , 15 , 10 , 5 , 10 , 5 , 25 , 35 , 35 , 5 , 10 , 30 , 15 , -   , 5 , 5 , 15 , 15 , 40 , 5 , 335 ," 1,780 "
         Ilocano , -   , 5 , -   , -   , 15 , 25 , 110 , -   , 20 , 5 , 35 , 40 , -   , 120 , 30 , -   , -   , -   , 105 , 15 , -   , -   , 530 ," 1,085 "
"         Indo-Iranian languages, n.i.e. ", -   , -   , -   , -   , 5 , -   , -   , -   , 10 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , 5 , -   , 20 , 145 
         Italian , 15 , 40 , 10 , 25 , 270 , 705 , 225 , 5 , 60 , 45 , 20 , 15 , 5 , 340 , 40 , 5 , 5 , 10 , 30 , 110 , 45 , 10 ," 2,040 "," 4,570 "
         Japanese , 100 , 560 , 85 , 235 , 65 , 125 , 125 , 75 , 110 , 190 , 205 , 115 , 75 , 280 , 65 , 40 , 50 , 10 , 85 , 75 , 830 , 60 ," 3,560 "," 8,105 "
         Khmer (Cambodian) , -   , -   , -   , 5 , 10 , 10 , 45 , -   , -   , -   , -   , 10 , -   , 30 , 10 , -   , -   , -   , 25 , 25 , -   , -   , 170 , 580 
         Korean , 390 ," 1,370 ", 160 , 160 , 85 , 35 , 130 , 255 , 395 , 160 , 190 , 215 , 245 , 320 , 35 , 40 , 65 , 10 , 85 , 65 , 955 , 110 ," 5,450 "," 34,850 "
         Kurdish , -   , 15 , 5 , -   , 10 , 20 , 20 , -   , 45 , 5 , 5 , 10 , -   , 25 , -   , -   , 5 , 15 , 15 , 20 , 5 , -   , 215 , 920 
         Lao , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , 5 , -   , -   , -   , -   , 30 , 420 
         Latvian , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 35 , 80 
         Lingala , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 
         Lithuanian , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 15 , 50 
         Macedonian , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 5 , -   , 35 , 110 
         Malay , 15 , 50 , -   , 5 , 10 , 5 , 10 , -   , 25 , 10 , 20 , 5 , 35 , 115 , -   , 5 , 20 , 5 , 5 , 15 , 30 , -   , 395 ," 1,265 "
         Malayalam , -   , -   , -   , 5 , -   , -   , 15 , -   , 25 , 5 , -   , -   , -   , 20 , -   , -   , -   , -   , 115 , 15 , -   , 5 , 205 , 610 
         Maltese , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 
         Mandarin ," 2,095 "," 1,180 "," 1,040 ", 405 , 220 , 480 , 845 ," 1,385 "," 1,100 ", 450 ," 2,180 ", 160 ," 1,475 "," 1,750 ", 495 , 725 , 295 , 365 , 575 , 785 , 410 , 625 ," 19,035 "," 75,385 "
         Marathi , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 10 , 5 , 10 , -   , 30 , 210 
         Nepali , -   , -   , -   , -   , -   , -   , 25 , -   , 5 , 5 , 5 , 5 , -   , -   , -   , -   , 5 , -   , 25 , -   , -   , -   , 80 , 460 
"         Niger-Congo languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 115 
         Norwegian , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 , 80 
         Oromo , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , -   , 5 , -   , -   , -   , -   , -   , -   , 10 , -   , 10 , -   , -   , 45 , 140 
         Panjabi (Punjabi) , 10 , 35 , 20 , 10 , 20 , 110 , 765 , 50 , 480 , 25 , 95 , 35 , 125 , 845 , 140 , 25 , 15 , 25 ," 6,555 "," 1,115 ", 5 , 10 ," 10,500 "," 103,895 "
         Pashto , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 70 , -   , 5 , -   , 90 , 540 
         Persian (Farsi) , 75 ," 1,885 ", 35 , 155 , 25 , 85 , 40 , 40 , 70 , 135 , 105 , 35 , 40 , 55 , 25 , 30 , 30 , 15 , 70 , 40 , 770 , 115 ," 3,875 "," 23,890 "
         Polish , 10 , 125 , 10 , 55 , 70 , 10 , 85 , 10 , 125 , 25 , 30 , 50 , 15 , 45 , 25 , -   , 15 , 5 , 25 , 15 , 90 , 15 , 860 ," 5,185 "
         Portuguese , 25 , 180 , 20 , 35 , 70 , 75 , 285 , 10 , 55 , 30 , 15 , 25 , 10 , 360 , 40 , -   , 10 , 5 , 60 , 60 , 175 , 10 ," 1,545 "," 3,435 "
         Romanian , 15 , 55 , -   , 40 , 10 , -   , 20 , -   , 35 , 20 , 45 , 10 , 15 , 5 , 10 , 5 , 5 , -   , 5 , -   , 135 , -   , 450 ," 3,575 "
         Rundi (Kirundi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , 5 , -   , -   , -   , 25 , 65 
         Russian , 40 , 555 , 30 , 110 , 35 , 25 , 35 , 15 , 120 , 150 , 205 , 70 , 65 , 75 , 30 , 10 , 25 , 10 , 35 , 15 , 400 , 40 ," 2,090 "," 10,050 "
         Rwanda (Kinyarwanda) , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 15 , 20 
"         Semitic languages, n.i.e. ", -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 15 , 455 
         Serbian , 15 , 455 , 20 , 140 , 20 , 25 , 20 , 20 , 55 , 95 , 50 , 35 , 5 , 70 , 15 , 5 , 10 , 5 , -   , 10 , 250 , 5 ," 1,325 "," 3,755 "
         Serbo-Croatian , 5 , 85 , -   , 35 , 5 , -   , -   , -   , 5 , 5 , 10 , -   , -   , 10 , -   , -   , -   , -   , 5 , -   , 55 , -   , 235 , 560 
         Shanghainese , 5 , 10 , -   , 10 , 5 , 10 , 5 , -   , 35 , 5 , 25 , 5 , 10 , 40 , -   , 5 , -   , 5 , 20 , -   , 10 , -   , 195 , 545 
"         Sign languages, n.i.e. ", 5 , 5 , -   , 5 , 5 , -   , 10 , -   , 10 , -   , 5 , 5 , -   , 10 , 5 , -   , -   , 5 , 10 , 5 , -   , -   , 95 , 475 
         Sindhi , -   , 20 , -   , 15 , -   , -   , -   , -   , 10 , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 10 , -   , 10 , -   , 75 , 660 
         Sinhala (Sinhalese) , -   , -   , -   , -   , -   , 5 , 15 , -   , -   , -   , 5 , 5 , -   , 10 , 5 , -   , -   , -   , 15 , -   , -   , -   , 65 , 530 
"         Sino-Tibetan languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , 45 , 615 
"         Slavic languages, n.i.e. ", -   , 5 , -   , 5 , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 20 , 60 
         Slovak , -   , 35 , 5 , 10 , 5 , 5 , 5 , -   , 5 , 15 , 5 , 5 , -   , -   , -   , -   , 5 , 5 , -   , -   , 35 , -   , 130 , 885 
         Slovenian , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 15 , 65 
         Somali , -   , 5 , -   , -   , 10 , 5 , 25 , -   , 5 , -   , -   , 5 , -   , 15 , -   , -   , -   , -   , 5 , 5 , -   , -   , 70 , 605 
         Spanish , 70 , 685 , 50 , 225 , 335 , 375 , 375 , 25 , 365 , 275 , 100 , 230 , 45 , 475 , 80 , 35 , 65 , 85 , 405 , 250 , 660 , 60 ," 5,240 "," 17,105 "
         Swahili , -   , 10 , -   , -   , 10 , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , 10 , 10 , -   , -   , -   , 50 , 195 
         Swedish , -   , 25 , 10 , 10 , -   , 5 , -   , 5 , 5 , 5 , -   , 5 , -   , -   , 5 , 15 , -   , 5 , 5 , -   , 15 , -   , 115 , 255 
"         Tagalog (Pilipino, Filipino) ", 35 , 90 , 25 , 60 , 205 , 395 ," 1,695 ", 25 , 435 , 15 , 475 , 655 , 60 ," 2,000 ", 515 , 10 , 15 , 10 ," 1,680 ", 840 , 105 , 10 ," 9,345 "," 26,830 "
         Taiwanese , 55 , 40 , 75 , 25 , -   , 30 , 5 , 55 , 40 , 5 , 110 , -   , 90 , 20 , 40 , 70 , 20 , -   , 20 , 15 , 15 , 30 , 765 ," 2,820 "
         Tamil , 5 , 5 , -   , -   , 20 , -   , 170 , -   , 40 , -   , 30 , 30 , 5 , 110 , 80 , 5 , 5 , -   , 430 , 75 , 15 , -   ," 1,035 "," 1,880 "
         Telugu , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , 10 , 5 , -   , -   , -   , 10 , -   , 5 , -   , 45 , 250 
         Thai , 5 , 45 , 10 , 5 , 15 , 5 , 5 , -   , -   , 10 , 15 , 20 , 5 , 30 , 15 , 10 , -   , -   , 10 , 15 , 50 , 5 , 270 , 655 
         Tibetan languages , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 10 , -   , 5 , -   , 20 , 85 
         Tigrigna , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 15 , -   , 15 , -   , -   , -   , 5 , 10 , -   , -   , -   , 65 , 260 
         Turkish , 15 , 95 , 10 , 15 , 5 , 10 , -   , 5 , 35 , 25 , 5 , -   , -   , 10 , 5 , -   , 5 , -   , 10 , -   , 110 , 10 , 370 ," 1,245 "
         Ukrainian , -   , 10 , -   , 15 , -   , -   , 5 , 5 , 10 , 5 , 15 , 5 , 5 , 10 , 15 , -   , 5 , 5 , -   , -   , 20 , 5 , 140 , 705 
         Urdu , 5 , 30 , -   , 5 , 20 , 30 , 20 , -   , 10 , 5 , 10 , 5 , 5 , 25 , -   , -   , -   , -   , 195 , 30 , 5 , -   , 400 ," 5,045 "
         Vietnamese , 10 , 50 , 10 , 10 , 330 ," 1,010 "," 1,850 ", 10 , 425 , 10 , 65 , 315 , 30 ," 1,515 ", 200 , 10 , 10 , 285 , 570 , 725 , 30 , 10 ," 7,480 "," 14,925 "
         Yiddish , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 10 
       Other languages , 10 , 65 , 5 , 25 , 40 , 25 , 75 , 5 , 35 , 15 , 25 , 30 , 5 , 75 , 20 , -   , 5 , 20 , 80 , 70 , 75 , 5 , 690 ," 2,215 "
   Multiple responses , 725 ," 2,095 ", 650 , 845 , 980 ," 2,410 "," 3,820 ", 615 ," 2,220 ", 860 ," 1,720 "," 1,175 ", 850 ," 5,255 "," 1,240 ", 325 , 260 , 370 ," 4,280 "," 2,855 "," 1,495 ", 330 ," 35,375 "," 133,430 "
     English and French , 10 , 95 , 30 , 60 , 45 , 30 , 60 , 10 , 35 , 85 , 35 , 55 , 15 , 45 , 35 , 20 , 10 , 20 , 25 , 25 , 115 , 15 , 885 ," 2,620 "
     English and non-official language , 695 ," 1,935 ", 605 , 750 , 905 ," 2,330 "," 3,700 ", 595 ," 2,150 ", 735 ," 1,650 "," 1,090 ", 820 ," 5,165 "," 1,185 ", 305 , 245 , 340 ," 4,210 "," 2,775 "," 1,310 ", 300 ," 33,780 "," 128,365 "
     French and non-official language , 5 , 20 , 10 , 10 , 10 , 15 , 15 , 5 , 20 , 5 , 10 , 20 , 5 , 20 , 5 , 5 , -   , 5 , 15 , 15 , 45 , 10 , 255 , 730 
"     English, French and non-official language ", 10 , 45 , 5 , 35 , 20 , 30 , 40 , 10 , 30 , 35 , 20 , 15 , 15 , 25 , 15 , -   , 5 , 5 , 25 , 40 , 30 , 10 , 450 ," 1,720 "
   Detailed language spoken most often at home - Males excluding institutional residents ," 7,130 "," 28,620 "," 10,490 "," 13,660 "," 13,260 "," 16,535 "," 23,090 "," 6,885 "," 13,305 "," 19,240 "," 11,405 "," 12,810 "," 5,700 "," 24,520 "," 10,385 "," 4,070 "," 3,500 "," 6,010 "," 17,770 "," 14,520 "," 23,255 "," 6,095 "," 291,505 "," 1,121,310 "
     Single responses ," 6,830 "," 27,595 "," 10,205 "," 13,305 "," 12,785 "," 15,410 "," 21,260 "," 6,600 "," 12,255 "," 18,855 "," 10,650 "," 12,275 "," 5,330 "," 22,040 "," 9,815 "," 3,925 "," 3,385 "," 5,810 "," 15,710 "," 13,150 "," 22,530 "," 5,950 "," 274,905 "," 1,057,340 "
       English ," 4,135 "," 21,760 "," 8,560 "," 11,890 "," 10,750 "," 9,565 "," 12,965 "," 4,725 "," 7,295 "," 17,310 "," 6,330 "," 10,670 "," 2,765 "," 11,545 "," 7,705 "," 2,950 "," 2,755 "," 4,020 "," 7,565 "," 6,260 "," 18,970 "," 5,015 "," 194,815 "," 778,030 "
       French , 35 , 240 , 40 , 125 , 95 , 60 , 95 , 35 , 35 , 200 , 30 , 110 , 15 , 55 , 55 , 15 , 20 , 45 , 40 , 15 , 300 , 65 ," 1,730 "," 4,025 "
       Non-official languages ," 2,655 "," 5,595 "," 1,605 "," 1,290 "," 1,940 "," 5,780 "," 8,195 "," 1,845 "," 4,930 "," 1,345 "," 4,285 "," 1,495 "," 2,555 "," 10,440 "," 2,055 ", 955 , 605 ," 1,735 "," 8,110 "," 6,875 "," 3,255 ", 865 ," 78,360 "," 275,290 "
         Selected Aboriginal languages , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 15 , 25 
           Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"           Cree, n.o.s. ", -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 25 
           Dene , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   
           Innu/Montagnais , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Inuktitut , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Ojibway , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Stoney , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Selected non-Aboriginal languages ," 2,650 "," 5,560 "," 1,600 "," 1,275 "," 1,910 "," 5,765 "," 8,155 "," 1,840 "," 4,915 "," 1,335 "," 4,280 "," 1,480 "," 2,555 "," 10,395 "," 2,040 ", 960 , 605 ," 1,725 "," 8,070 "," 6,845 "," 3,210 ", 860 ," 77,980 "," 274,145 "
"           African languages, n.i.e. ", -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 70 
           Afrikaans , -   , 10 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 35 , 255 
           Akan (Twi) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , 50 
           Albanian , -   , 5 , -   , 10 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 25 , 245 
           Amharic , -   , 5 , -   , 5 , -   , -   , 5 , -   , 10 , 5 , 5 , 10 , -   , 5 , -   , -   , -   , 5 , 5 , 5 , 10 , -   , 60 , 220 
           Arabic , -   , 415 , -   , 30 , 20 , 15 , 20 , -   , 20 , 10 , 25 , 25 , 15 , 35 , -   , 10 , 5 , -   , 30 , 20 , 255 , 5 , 955 ," 3,415 "
           Armenian , 5 , -   , -   , -   , -   , 5 , 5 , -   , -   , 5 , 5 , -   , -   , -   , 10 , -   , -   , -   , -   , -   , 5 , -   , 50 , 225 
"           Bantu languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , 40 
           Bengali , -   , 10 , 5 , -   , 5 , 10 , 15 , -   , 15 , -   , 10 , 35 , 10 , 25 , 10 , -   , -   , 5 , 100 , 30 , 5 , -   , 280 , 645 
           Berber languages (Kabyle) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Bisayan languages , -   , -   , -   , -   , 5 , 10 , 25 , -   , 15 , -   , 5 , 10 , -   , 35 , 5 , -   , -   , -   , 15 , 10 , -   , -   , 135 , 465 
           Bosnian , 5 , 10 , -   , 5 , -   , 5 , 5 , -   , 5 , 5 , 5 , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 10 , -   , 60 , 330 
           Bulgarian , -   , 30 , -   , 10 , -   , -   , -   , -   , -   , 5 , 5 , 10 , 5 , 5 , -   , -   , -   , -   , -   , -   , 20 , 5 , 95 , 475 
           Burmese , -   , -   , -   , -   , -   , 10 , 30 , -   , 5 , -   , -   , 10 , -   , 30 , -   , -   , -   , 5 , 30 , -   , -   , -   , 125 , 305 
           Cantonese , 490 , 575 , 310 , 150 , 575 ," 2,625 "," 3,000 ", 420 ," 1,795 ", 110 ," 1,140 ", 240 , 750 ," 3,840 ", 660 , 165 , 140 , 785 ," 1,340 "," 3,125 ", 80 , 100 ," 22,410 "," 46,200 "
"           Chinese, n.o.s. ", 645 , 640 , 415 , 150 , 355 ," 1,310 "," 1,510 ", 455 , 965 , 145 ," 1,020 ", 165 , 645 ," 1,990 ", 390 , 245 , 115 , 435 , 720 ," 1,420 ", 140 , 200 ," 14,075 "," 35,345 "
           Creoles , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 20 , 125 
           Croatian , 5 , 25 , 5 , 10 , 15 , 25 , 15 , -   , 5 , 5 , 5 , 5 , 10 , 35 , -   , -   , -   , 10 , 5 , 20 , 20 , 5 , 225 , 950 
           Czech , 5 , 10 , -   , 10 , -   , -   , 5 , 5 , 5 , 10 , 5 , 10 , -   , -   , -   , -   , -   , -   , -   , -   , 35 , -   , 100 , 520 
           Danish , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 30 , 90 
           Dutch , -   , 15 , 5 , 5 , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , 5 , 5 , -   , -   , -   , 5 , -   , 10 , 5 , 60 , 335 
           Estonian , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 40 
           Finnish , -   , -   , 5 , 5 , -   , -   , -   , -   , 10 , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 40 , 190 
           Flemish , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 10 
           Fukien , -   , 5 , 5 , -   , 5 , -   , 15 , 10 , 5 , -   , 10 , -   , 5 , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , 70 , 305 
           German , 15 , 60 , 35 , 30 , 15 , -   , 25 , 10 , 15 , 65 , 15 , 15 , 5 , 20 , 15 , -   , 10 , 5 , 55 , 20 , 80 , 15 , 525 ," 1,635 "
           Greek , 60 , 5 , 20 , 15 , 15 , 10 , 25 , 15 , 15 , 130 , 10 , 15 , 5 , 30 , 25 , 5 , 10 , 5 , 10 , 10 , 5 , 5 , 440 , 840 
           Gujarati , -   , 10 , -   , 10 , -   , 10 , 25 , -   , 25 , 5 , 5 , 5 , -   , 35 , -   , -   , 5 , -   , 60 , 5 , 10 , 5 , 210 ," 1,270 "
           Hakka , -   , -   , -   , -   , -   , 10 , 5 , -   , 5 , -   , -   , -   , -   , 20 , -   , -   , -   , 5 , 5 , -   , -   , -   , 55 , 140 
           Hebrew , 5 , 25 , 15 , 10 , 5 , -   , -   , 10 , -   , 10 , 25 , 5 , 10 , -   , 15 , 5 , 15 , -   , -   , -   , 10 , 5 , 175 , 365 
           Hindi , 5 , 15 , 5 , -   , 10 , 30 , 145 , 5 , 40 , -   , 10 , 10 , 10 , 195 , 35 , -   , -   , 5 , 225 , 110 , 35 , 5 , 905 ," 5,555 "
           Hungarian , -   , 15 , 5 , 5 , 5 , 5 , 5 , 5 , 15 , 10 , 15 , 5 , 5 , 10 , 5 , -   , 5 , 5 , 5 , 5 , 10 , 5 , 145 , 860 
           Ilocano , -   , 5 , -   , -   , 5 , 15 , 50 , -   , 5 , -   , 15 , 15 , -   , 55 , 15 , -   , -   , -   , 45 , 10 , -   , -   , 240 , 490 
"           Indo-Iranian languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , 15 , 70 
           Italian , 5 , 25 , 5 , 10 , 100 , 305 , 105 , -   , 25 , 20 , 10 , 5 , -   , 150 , 20 , -   , -   , 5 , 15 , 50 , 15 , -   , 890 ," 2,020 "
           Japanese , 45 , 240 , 35 , 95 , 30 , 40 , 45 , 30 , 45 , 75 , 100 , 40 , 30 , 115 , 20 , 15 , 15 , 5 , 35 , 25 , 325 , 30 ," 1,445 "," 3,375 "
           Khmer (Cambodian) , -   , -   , -   , -   , 5 , 5 , 25 , 5 , -   , -   , -   , 5 , -   , 15 , 5 , -   , -   , -   , 10 , 10 , -   , -   , 80 , 285 
           Korean , 165 , 610 , 75 , 65 , 30 , 20 , 60 , 105 , 205 , 65 , 95 , 95 , 115 , 150 , 15 , 20 , 25 , 5 , 35 , 25 , 410 , 40 ," 2,415 "," 16,095 "
           Kurdish , -   , 5 , -   , -   , 10 , 10 , 10 , -   , 15 , 5 , 5 , 5 , -   , 15 , -   , -   , -   , 5 , 5 , 5 , -   , -   , 105 , 475 
           Lao , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , 5 , -   , -   , -   , 15 , 205 
           Latvian , -   , 5 , -   , -   , -   , -   , 5 , 5 , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 35 
           Lingala , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Lithuanian , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , 25 
           Macedonian , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , 15 , 55 
           Malay , 10 , 20 , -   , -   , 5 , -   , 5 , 5 , 10 , 5 , 10 , -   , 15 , 65 , -   , 5 , 15 , 5 , -   , 10 , 15 , -   , 210 , 635 
           Malayalam , -   , -   , -   , 5 , -   , 5 , 10 , -   , 15 , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 45 , 10 , -   , -   , 105 , 310 
           Maltese , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   
           Mandarin , 990 , 530 , 490 , 170 , 95 , 235 , 400 , 640 , 515 , 205 ," 1,040 ", 70 , 690 , 825 , 240 , 360 , 135 , 165 , 275 , 355 , 185 , 270 ," 8,895 "," 35,675 "
           Marathi , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 5 , 10 , -   , 20 , 110 
           Nepali , -   , -   , -   , -   , -   , -   , 15 , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , 50 , 240 
"           Niger-Congo languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 55 
