NODE_NUMBER,BLOCK_NUMBER,LAT,LONG
5,76,49.2387903082858,-123.050306690725
6,76,49.2386284327526,-123.049926857876
5,76,49.2390067859439,-123.049456843547
7,76,49.2385689162805,-123.048371515072
4,76,49.2391528929011,-123.050110360718
7,76,49.2384772242025,-123.049589240225
3,76,49.2394491034335,-123.050570921734
3,76,49.239102931092,-123.051040085691
6,76,49.2387245051786,-123.049037272949
2,76,49.2392672953456,-123.051418321073
1,24,49.2626733499478,-123.058232280504
3,29,49.2633300901378,-123.17187808499
4,29,49.2631930188751,-123.171480048898
1,29,49.2633137860564,-123.17103265632
2,29,49.2631770448701,-123.170494361139
3,77,49.2921561817331,-123.04860959919
1,78,49.2917224287146,-123.046661236698
2,77,49.2919667316182,-123.048659609544
4,77,49.2918239670901,-123.048020117057
6,77,49.2916767958233,-123.047347865773
7,77,49.2918796254161,-123.047353409743
1,77,49.2922598416821,-123.049289766369
5,77,49.2920250670426,-123.048031754487
1,56,49.2348845346252,-123.18207990904
2,56,49.2352581788588,-123.181943310398
3,53,49.2302513533776,-123.097461703954
2,53,49.2301683575202,-123.098222382525
1,53,49.2302837854544,-123.098854191354
8,22,49.2643464046322,-123.069597577111
5,22,49.2643505137723,-123.069838859572
1,22,49.2646543636707,-123.069059127263
2,22,49.2649769453074,-123.069591055373
6,22,49.2646436644301,-123.069590421741
0.5,22,49.2649961196578,-123.069835262364
4,22,49.2649316922201,-123.069588105286
3,22,49.2646500171244,-123.069840409345
1,22,49.2649285136006,-123.069832143058
2,05,49.279865539132,-123.041363217655
4,05,49.2791921463175,-123.041351242866
1,05,49.2795281541951,-123.041546430221
2,11,49.2842520729278,-123.135338856345
4,11,49.2838254030957,-123.135983881288
1,11,49.2841238326596,-123.135772561903
3,55,49.2334679087788,-123.07157370449
1,55,49.2345531421331,-123.070724498793
4,55,49.2338337632592,-123.070756631337
4,55,49.2338566912682,-123.071401339112
6,55,49.2329662498302,-123.071432775174
6,55,49.2332813924286,-123.070770347834
5,55,49.2335503694882,-123.070768657903
3,55,49.234005353877,-123.070746505434
2,55,49.2342860247179,-123.070744832054
1,55,49.2342497301981,-123.071546028681
2,55,49.2346381583684,-123.071379181968
1,30,49.259677850607,-123.172345174558
3,30,49.2596869911288,-123.17358803461
2,30,49.2595855341692,-123.173024277294
4,77,49.2141414408708,-123.07693577974
3,77,49.2144338482019,-123.077208862178
5,77,49.2139149948764,-123.077217006599
1,77,49.2145507286934,-123.077242053574
2,77,49.2145475135275,-123.076924312926
1,27,49.2608777704492,-123.105063946009
3,27,49.2605285031627,-123.105075216625
3.5,27,49.2604124336441,-123.105079959179
4,09,49.2764522839337,-123.102314292728
6,09,49.2763762911096,-123.10252908817
2,09,49.2765908715814,-123.102152955208
8,09,49.2762943795043,-123.102053150025
3,09,49.2764452091274,-123.102674398145
1,09,49.2766167575542,-123.10239930832
10,80,49.2618126069285,-123.0396794398
7,80,49.2619806738205,-123.039834979849
12,80,49.2618066361441,-123.039305058961
3,80,49.2619827894123,-123.040784030079
1,80,49.2619853331175,-123.041270795646
6,80,49.2618196882574,-123.040297133829
5,80,49.2619829602127,-123.040297253028
9,80,49.2619863248789,-123.039356481163
8,80,49.2618199221241,-123.04001245201
2,80,49.2618220715683,-123.041241535702
5.5,80,49.2619803358705,-123.040006025736
4,80,49.2618167963252,-123.04077139988
3,04,49.2062928536662,-123.116277755848
5,04,49.2061712160675,-123.116931395851
1,04,49.2064179189262,-123.115601989866
5,42,49.2473181790966,-123.101253278127
2.6,43,49.2472722424505,-123.101035225197
2,43,49.247438055641,-123.101020257028
1,42,49.2477268696372,-123.101241624004
